"model","label","catalog_section","source","current_price","current_garage","current_required_fleet_tier","current_capacity","proposed_market_layer","proposed_branch","proposed_tier","proposed_capacity","insurance_class","maintenance_class","cash_purchase","financing","operational_rental","notes"
"trhawk","2018 Jeep Cherokee Trackhawk","suv_offroad","carros_reais","148000","pillboxgarage",,"3","premium_functional","land","pf2","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"teslax","2016 Tesla Model X P90D","suv_offroad","carros_reais","155000","pillboxgarage",,"0","premium_functional","land","pf3","6","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"levante","Maserati Levante","suv_offroad","carros_reais","155000","pillboxgarage",,"3","premium_functional","land","pf3","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"q820","2020 Audi Q8 50TDI","suv_offroad","carros_reais","165000","pillboxgarage",,"3","premium_functional","land","pf3","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"p90d","Tesla Model X Unplugged","suv_offroad","carros_reais","165000","pillboxgarage",,"0","premium_functional","land","pf3","6","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"cesc21","2021 Cadillac Escalade","suv_offroad","carros_reais","175000","pillboxgarage",,"3","premium_functional","land","pf3","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"pcs18","2018 Porsche Cayenne S","suv_offroad","carros_reais","185000","pillboxgarage",,"3","premium_functional","land","pf3","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"rrst","Range Rover Vogue Startech","suv_offroad","carros_reais","195000","pillboxgarage",,"0","premium_functional","land","pf3","6","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"G65","2013 Mercedes-Benz G65 AMG","suv_offroad","carros_reais","210000","pillboxgarage",,"0","premium_functional","land","pf3","6","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"rsvr16","2016 Range Rover Sport SVR","suv_offroad","carros_reais","220000","pillboxgarage",,"0","premium_functional","land","pf3","6","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"amdbx","Aston Martin DBX Carbon","suv_offroad","carros_reais","280000","pillboxgarage",,"0","premium_functional","land","pf3","6","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"bbentayga","Bentley Bentayga","suv_offroad","carros_reais","310000","pillboxgarage",,"3","premium_functional","land","pf3","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"urus","Lamborghini Urus","suv_offroad","carros_reais","360000","pillboxgarage",,"3","premium_functional","land","pf3","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"maverick","Maverick","transport_air","vanilla_or_mixed","320000","intairport","2","2","core_work","air","a1","2","aviation","aviation","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 2."
"frogger","Frogger","transport_air","vanilla_or_mixed","420000","intairport","3","3","core_work","air","a2","3","aviation","aviation","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 3."
"swift","Swift","transport_air","vanilla_or_mixed","620000","intairport","4","4","core_work","air","a3","4","aviation","aviation","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 4."
"cargobob","Cargobob","transport_air","vanilla_or_mixed","980000","intairport","6","8","core_work","air","a5","8","aviation","aviation","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 8."
"bison","Vapid Bison Cargo","transport_land","vanilla_or_mixed","65000","pillboxgarage","1","3","core_work","land","t2","8","commercial","commercial","yes","yes","yes","Entrada real da frota utilitaria terrestre. Capacidade atual no config: 3."
"mule","Maibatsu Mule","transport_land","vanilla_or_mixed","120000","pillboxgarage","2","5","core_work","land","t4","12","commercial","commercial","yes","yes","yes","Caminhao medio; pilar dos contratos terrestres. Capacidade atual no config: 5."
"pounder","MTL Pounder","transport_land","vanilla_or_mixed","210000","pillboxgarage","4","10","core_work","land","t5","16","commercial","commercial","yes","yes","yes","Pesado intermediario; alto retorno e custo operacional maior. Capacidade atual no config: 10."
"barracks","HVY Barracks","transport_land","vanilla_or_mixed","290000","pillboxgarage","6","12","core_work","land","t5","20","commercial","commercial","yes","yes","yes","Pesado premium de alto risco/alto retorno. Capacidade atual no config: 12."
"dinghy","Nagasaki Dinghy","transport_water","vanilla_or_mixed","110000","lsymc","1","2","core_work","water","w1","2","marine","marine","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 2."
"marquis","Dinka Marquis","transport_water","vanilla_or_mixed","180000","lsymc","3","6","core_work","water","w3","6","marine","marine","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 6."
"suntrap","Shitzu Suntrap","transport_water","vanilla_or_mixed","260000","lsymc","5","3","core_work","water","w2","3","marine","marine","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 3."
"tug","Buckingham Tug","transport_water","vanilla_or_mixed","310000","lsymc","4","12","core_work","water","w5","12","marine","marine","yes","yes","yes","Ramo bloqueado por licenca apos progressao em terra. Capacidade atual no config: 12."
